Country,Imports,Year
United States,"3,375,948",2022
European Union,"2,743,745",2022
China,"2,715,999",2022
Germany,"1,571,057",2022
Japan,"905,099",2022
France,"830,300",2022
United Kingdom,"816,300",2022
Italy,"743,030",2022
India,"732,566",2022
South Korea,"731,366",2022
Netherlands,"712,801",2022
Hong Kong,"669,093",2022
Belgium,"624,289",2022
Mexico,"604,615",2022
Canada,"567,826",2022
Spain,"499,055",2022
Singapore,"475,516",2022
Taiwan,"437,335",2022
Vietnam,"364,052",2022
Turkey,"363,711",2022
Poland,"358,593",2022
Switzerland,"356,763",2022
Thailand,"306,260",2022
Malaysia,"295,092",2022
Australia,"290,113",2022
Brazil,"272,701",2022
United Arab Emirates,"248,418",2022
Indonesia,"237,447",2022
Czech Republic,"235,919",2022
Austria,"231,947",2022
Sweden,"202,093",2022
Russia,"194,393",2022
Hungary,"158,413",2022
Ireland,"147,913",2022
Philippines,"145,889",2022
Saudi Arabia,"140,017",2022
Romania,"132,700",2022
Denmark,"125,731",2022
Slovakia,"115,215",2022
Portugal,"115,036",2022
South Africa,"111,878",2022
Chile,"109,265",2022
Norway,"107,268",2022
Israel,"107,083",2022
Greece,"97,970",2022
Finland,"97,265",2022
Bangladesh,"83,203",2022
Egypt,"79,712",2022
Colombia,"77,413",2022
Argentina,"76,162",2022
Morocco,"72,833",2022
Pakistan,"71,105",2022
Nigeria,"60,488",2022
Peru,"60,246",2022
Slovenia,"59,722",2022
Bulgaria,"58,091",2022
Ukraine,"55,224",2022
Lithuania,"55,110",2022
New Zealand,"54,676",2022
Kazakhstan,"50,044",2022
Iraq,"44,817",2022
Croatia,"44,115",2022
Serbia,"39,756",2022
Algeria,"33,766",2022
Qatar,"33,479",2022
Ecuador,"33,048",2022
Guatemala,"32,099",2022
Dominican Republic,"29,990",2022
Panama,"29,249",2022
Uzbekistan,"28,264",2022
Latvia,"27,894",2022
Estonia,"27,002",2022
Democratic Republic of the Congo,"26,996",2022
Iran,"26,958",2022
Kuwait,"26,717",2022
Luxembourg,"26,068",2022
Scotland (UK),"25,400",2019
Puerto Rico (US),"24,251",2019
Tunisia,"22,296",2022
Oman,"22,026",2022
Costa Rica,"21,143",2022
Kenya,"21,128",2022
Lebanon,"19,500",2022
Jordan,"19,375",2022
Cambodia,"19,296",2020
Ghana,"18,943",2022
Côte d'Ivoire,"17,972",2022
Honduras,"17,820",2022
Angola,"17,711",2022
Macau (CN),"17,430",2022
Myanmar,"17,403",2022
Libya,"17,335",2022
Sri Lanka,"17,301",2022
El Salvador,"17,108",2022
Marshall Islands,"16,633",2022
Ethiopia,"16,544",2022
Tanzania,"15,654",2022
Bahrain,"15,534",2022
Bosnia and Herzegovina,"15,382",2022
Azerbaijan,"14,539",2022
Mozambique,"14,512",2022
Paraguay,"14,168",2022
Nepal,"13,716",2022
Bolivia,"13,049",2022
Uruguay,"12,973",2022
North Macedonia,"12,755",2022
Belarus,"12,535",2022
Senegal,"12,129",2022
Cyprus,"11,889",2022
Nicaragua,"11,247",2022
Venezuela,"10,856",2022
Gibraltar (UK),"10,814",2022
Georgia,"10,038",2022
Iceland,"9,764",2022
Kyrgyzstan,"9,629",2022
Moldova,"9,219",2022
Brunei,"9,189",2022
Zambia,"9,048",2022
Yemen,"8,985",2022
Mongolia,"8,747",2022
Armenia,"8,634",2022
Malta,"8,571",2022
Guyana,"8,557",2022
Albania,"8,407",2022
Botswana,"8,005",2022
Cameroon,"7,971",2022
Namibia,"7,958",2022
Laos,"7,625",2022
Sudan,"7,448",2022
Djibouti,"6,940",2022
Jamaica,"6,861",2022
Mauritius,"6,618",2022
Trinidad and Tobago,"6,202",2022
Guinea,"6,007",2022
Mali,"5,972",2022
Zimbabwe,"5,722",2022
Burkina Faso,"5,632",2022
Papua New Guinea,"5,598",2022
Madagascar,"5,478",2022
Tajikistan,"5,182",2022
Mauritania,"5,119",2022
Afghanistan,"4,689",2022
Cayman Islands (UK),"4,638",2022
Uganda,"4,572",2022
Kosovo,"4,400",2019
Syria,"4,325",2022
Haiti,"4,240",2022
Cuba,"4,200",2022
Niger,"3,787",2022
Bahamas,"3,758",2022
Montenegro,"3,722",2022
Republic of the Congo,"3,542",2022
Maldives,"3,522",2022
Somalia,"3,519",2022
Turkmenistan,"3,434",2022
Rwanda,"3,368",2022
Benin,"3,344",2022
Fiji,"3,016",2022
New Caledonia (FR),"2,836",2022
Togo,"2,798",2022
Gabon,"2,572",2022
Curaçao (NL),"2,283",2022
United States Minor Outlying Islands (US),"2,279",2022
French Polynesia (FR),"2,220",2022
Barbados,"2,147",2022
Eswatini,"2,022",2022
Liechtenstein,"2,188",2018
Liberia,"1,921",2022
Lesotho,"1,881",2022
Andorra,"1,864",2022
Suriname,"1,803",2022
Sierra Leone,"1,717",2022
Equatorial Guinea,"1,677",2022
Malawi,"1,553",2022
Palestine,"1,537",2022
Aruba (NL),"1,474",2022
Faroe Islands (DK),"1,444",2022
Gambia,"1,436",2022
Belize,"1,378",2022
Monaco,"1,371",2017 est.
Bhutan,"1,356",2022
Saint Lucia,"1,331",2022
British Virgin Islands (UK),"1,230",2022
Burundi,"1,204",2022
Bermuda (UK),"1,192",2022
Greenland (DK),"1,063",2022
Timor-Leste,933.5,2022
North Korea,904.8,2022
Chad,895.2,2022
Cape Verde,832.2,2022
Seychelles,717.5,2022
Turks and Caicos Islands (UK),678.3,2022
Central African Republic,629.5,2022
Antigua and Barbuda,623.0,2022
Grenada,589.3,2019
Solomon Islands,539.5,2022
South Sudan,512.5,2022
Samoa,492.1,2022
Saint Vincent and the Grenadines,438.0,2022
Vanuatu,424.7,2022
Dominica,400.0,2022
Guinea-Bissau,395.6,2022
Saint Kitts and Nevis,377.8,2022
Bonaire (NL),353.2,2019
Eritrea,332.1,2022
San Marino,315.0,2018
Comoros,271.7,2022
Tonga,244.7,2022
Kiribati,206.2,2022
São Tomé and Príncipe,196.3,2022
Palau,182.8,2022
Anguilla (UK),166.3,2022
Cook Islands (NZ),159.5,2022
Micronesia,159.1,2022
Northern Mariana Islands (US),154.6,2022
Western Sahara (MR),153.6,2022
Tuvalu,153.4,2022
Sint Maarten (NL),151.3,2022
Falkland Islands (UK),112.8,2022
Nauru,82.44,2022
American Samoa (US),74.41,2019
Saint Pierre and Miquelon (FR),70.43,2022
Wallis and Futuna (FR),59.98,2022
French Southern and Antarctic Lands (FR),56.40,2022
British Indian Ocean Territory (UK),56.64,2022
Christmas Island (AU),53.78,2022
"Saint Helena, Ascension and Tristan da Cunha (UK)",45.22,2022
Montserrat (UK),39.24,2022
Norfolk Island (AU),33.38,2022
Niue (NZ),31.70,2022
Guam (US),19.66,2019
Cocos Islands (AU),13.04,2022
Pitcairn Islands (UK),5.988,2019
Tokelau (NZ),3.770,2022
