Rank,Passport Issuing Country,Number of Visa-Free Destinations,Year
1,France,194,2022
1,Germany,194,2022
1,Italy,194,2022
1,Japan,194,2022
1,Singapore,194,2022
1,Spain,194,2022
2,Austria,193,2022
2,Finland,193,2022
2,Ireland,193,2022
2,Luxembourg,193,2022
2,Netherlands,193,2022
2,South Korea,193,2022
2,Sweden,193,2022
3,Belgium,192,2022
3,Denmark,192,2022
3,United Kingdom,192,2022
4,Norway,191,2022
4,Portugal,191,2022
4,Switzerland,191,2022
5,Greece,190,2022
5,Malta,190,2022
5,New Zealand,190,2022
6,Australia,189,2022
6,Czech Republic,189,2022
6,Hungary,189,2022
6,Poland,189,2022
7,Canada,188,2022
7,Lithuania,188,2022
7,United States,188,2022
8,Estonia,187,2022
9,Latvia,186,2022
9,Slovakia,186,2022
9,Slovenia,186,2022
10,Iceland,185,2022
11,Croatia,184,2022
11,United Arab Emirates,184,2022
12,Cyprus,182,2022
12,Liechtenstein,182,2022
12,Malaysia,182,2022
13,Bulgaria,179,2022
13,Romania,179,2022
14,Monaco,178,2022
15,Chile,177,2022
16,Argentina,174,2022
17,Brazil,173,2022
18,San Marino,172,2022
19,Andorra,171,2022
19,Hong Kong,171,2022
20,Brunei,168,2022
21,Israel,166,2022
22,Barbados,165,2022
23,Mexico,161,2022
24,Bahamas,158,2022
25,Saint Kitts and Nevis,156,2022
25,Saint Vincent and the Grenadines,157,2022
25,Vatican City,157,2022
26,Uruguay,156,2022
26,Seychelles,156,2022
27,Antigua and Barbuda,154,2022
28,Costa Rica,152,2022
29,Trinidad and Tobago,151,2022
30,Mauritius,150,2022
31,Panama,149,2022
32,Grenada,148,2022
32,Saint Lucia,148,2022
32,Ukraine,148,2022
33,Paraguay,147,2022
34,Dominica,144,2022
34,Macau,144,2022
35,Taiwan,143,2022
36,Peru,142,2022
37,Serbia,138,2022
38,Guatemala,137,2022
39,El Salvador,136,2022
40,Colombia,135,2022
40,Honduras,135,2022
41,Solomon Islands,134,2022
42,Samoa,132,2022
43,Nicaragua,130,2022
43,Tonga,130,2022
44,Tuvalu,128,2022
45,North Macedonia,127,2022
46,Marshall Islands,126,2022
46,Montenegro,126,2022
46,Venezuela,126,2022
47,Kiribati,124,2022
48,Albania,123,2022
48,Micronesia,123,2022
48,Palau,123,2022
49,Moldova,122,2022
50,Bosnia and Herzegovina,121,2022
50,Georgia,121,2022
51,Russia,119,2022
52,Turkey,118,2022
53,Qatar,108,2022
53,South Africa,108,2022
54,Belize,104,2022
55,Kuwait,103,2022
56,East Timor,96,2022
57,Ecuador,95,2022
58,Maldives,94,2022
58,Vanuatu,94,2022
59,Bahrain,91,2022
59,Botswana,91,2022
59,Fiji,91,2022
59,Guyana,91,2022
60,Jamaica,90,2022
60,Nauru,90,2022
60,Oman,90,2022
61,Saudi Arabia,86,2022
62,China,85,2022
62,Papua New Guinea,85,2022
63,Bolivia,82,2022
63,Thailand,82,2022
64,Belarus,81,2022
64,Suriname,81,2022
65,Lesotho,80,2022
65,Namibia,80,2022
66,Indonesia,78,2022
66,Kazakhstan,78,2022
66,Eswatini,78,2022
67,Kenya,76,2022
67,Malawi,76,2022
68,Dominican Republic,74,2022
68,Kosovo,74,2022
69,Tanzania,73,2022
70,Azerbaijan,72,2022
71,Tunisia,71,2022
71,Zambia,71,2022
71,Morocco,71,2022
72,Gambia,70,2022
73,Cape Verde,69,2022
73,Philippines,69,2022
73,Uganda,69,2022
