Country,averageIqByCountry_iqLynnBecker2019,averageIqByCountry_sourceLynnBecker2019,AverageIQ_ICI2017Grade,AverageIQ_ICI2017Score,OverallPisaScore2022,PISAScoresMathScore2022,PISAScoresScienceScore2022,PISAScoresReadingScore2022
China,104.1,T,B,47.3,1605.0,552.0,543.0,510.0
United States,97.43,T,A+,74.9,1468.0,465.0,499.0,504.0
Indonesia,78.49,T,D+,23.7,1108.0,366.0,383.0,359.0
Brazil,83.38,T,C+,36.2,1192.0,379.0,403.0,410.0
Mexico,87.73,T,C,30.7,1220.0,395.0,410.0,415.0
Japan,106.48,T,A-,58.9,1599.0,536.0,547.0,516.0
Philippines,81.64,T,C-,26.6,1058.0,355.0,356.0,347.0
Vietnam,89.53,T,C-,25.1,1403.0,469.0,472.0,462.0
Turkey,86.8,T,C,33.4,1385.0,453.0,476.0,456.0
Germany,100.74,T,A,64.2,1447.0,475.0,492.0,480.0
Thailand,88.87,T,C-,29.2,1182.0,394.0,409.0,379.0
United Kingdom,99.12,T,A,64.2,1483.0,489.0,500.0,494.0
France,96.69,T,A-,56.7,1435.0,474.0,487.0,474.0
Italy,94.23,T,B,48.0,1430.0,471.0,477.0,482.0
Colombia,83.13,T,C-,27.9,1203.0,383.0,411.0,409.0
South Korea,102.35,T,A-,56.4,1570.0,527.0,528.0,515.0
Spain,93.9,T,B,49.8,1432.0,473.0,485.0,474.0
Argentina,86.63,T,B-,40.5,1185.0,378.0,406.0,401.0
Poland,96.35,T,B,45.6,1477.0,489.0,499.0,489.0
Canada,99.52,T,A,61.2,1519.0,497.0,515.0,507.0
Morocco,67.03,T,D+,22.6,1069.0,365.0,365.0,339.0
Ukraine,90.07,T,C+,38.3,1319.0,441.0,450.0,428.0
Saudi Arabia,76.36,T,C,30.2,1162.0,389.0,390.0,383.0
Uzbekistan,89.01,T,,,1055.0,364.0,355.0,336.0
Peru,81.44,T,C-,28.0,1207.0,391.0,408.0,408.0
Malaysia,87.58,T,C+,35.5,1213.0,409.0,416.0,388.0
Australia,99.24,T,A,64.0,1492.0,487.0,507.0,498.0
Taiwan,106.47,T,B,45.7,1599.0,547.0,537.0,515.0
Kazakhstan,88.89,T,C+,35.1,1234.0,425.0,423.0,386.0
Chile,87.89,T,C+,37.8,1304.0,412.0,444.0,448.0
Romania,86.88,T,C+,39.4,1284.0,428.0,428.0,428.0
Guatemala,47.72,T,D+,22.8,1091.0,344.0,373.0,374.0
Netherlands,100.74,T,A-,58.7,1440.0,493.0,488.0,459.0
Cambodia,99.75,T,D,16.1,1012.0,336.0,347.0,329.0
Belgium,97.49,T,A-,58.7,1459.0,489.0,491.0,479.0
Dominican Republic,82.05,T,D+,23.9,1050.0,339.0,360.0,351.0
Jordan,80.7,T,C-,26.0,1078.0,361.0,375.0,342.0
Sweden,97.0,T,A,61.6,1463.0,482.0,494.0,487.0
Czech Republic,94.92,T,B+,51.8,1474.0,487.0,498.0,489.0
Azerbaijan,84.81,E,C-,28.6,1142.0,397.0,380.0,365.0
Greece,90.77,T,B-,40.1,1309.0,430.0,441.0,438.0
Portugal,92.77,T,B-,44.8,1433.0,472.0,484.0,477.0
Hungary,99.24,T,B,50.0,1432.0,473.0,486.0,473.0
United Arab Emirates,82.05,T,C+,35.9,1280.0,431.0,432.0,417.0
Israel,92.43,T,B+,50.1,1397.0,458.0,465.0,474.0
Austria,98.38,T,A-,58.7,1458.0,487.0,491.0,480.0
Switzerland,99.24,T,A,61.6,1494.0,508.0,503.0,483.0
Hong Kong,105.37,T,B+,51.2,1560.0,540.0,520.0,500.0
Serbia,89.6,T,C+,35.2,1327.0,440.0,447.0,440.0
Paraguay,84.04,E,D+,24.5,1079.0,338.0,368.0,373.0
Bulgaria,90.99,T,B-,43.3,1242.0,417.0,421.0,404.0
El Salvador,69.63,E,D+,21.7,1081.0,343.0,373.0,365.0
Singapore,105.89,T,A,63.6,1679.0,575.0,561.0,543.0
Denmark,97.83,T,A,60.3,1472.0,489.0,494.0,489.0
Slovakia,96.32,T,B-,43.6,1373.0,464.0,462.0,447.0
Finland,101.2,T,A,60.5,1485.0,484.0,511.0,490.0
Norway,97.13,T,B+,55.0,1423.0,468.0,478.0,477.0
Palestine,77.69,T,,,1084.0,366.0,369.0,349.0
New Zealand,98.57,T,A-,57.3,1484.0,479.0,504.0,501.0
Costa Rica,88.34,T,C,32.4,1211.0,385.0,411.0,415.0
Ireland,95.13,T,B+,53.6,1512.0,492.0,504.0,516.0
Panama,79.0,E,C-,28.8,1137.0,357.0,388.0,392.0
Croatia,95.75,T,C+,38.5,1421.0,463.0,483.0,475.0
Georgia,84.5,E,C,31.5,1148.0,390.0,384.0,374.0
Mongolia,91.03,T,C-,27.4,1215.0,425.0,412.0,378.0
Uruguay,87.59,E,C+,37.9,1274.0,409.0,435.0,430.0
Moldova,89.98,E,C,31.5,1242.0,414.0,417.0,411.0
Albania,81.75,E,D+,23.4,1102.0,368.0,376.0,358.0
Jamaica,75.08,T,C-,26.7,1190.0,377.0,403.0,410.0
Qatar,80.78,T,C,31.3,1265.0,414.0,432.0,419.0
Lithuania,95.89,T,B,46.3,1431.0,475.0,484.0,472.0
Slovenia,98.6,T,B+,51.5,1454.0,485.0,500.0,469.0
North Macedonia,81.91,E,C-,28.3,1128.0,389.0,380.0,359.0
Latvia,94.79,T,B,45.8,1452.0,483.0,494.0,475.0
Estonia,100.72,T,B,49.5,1547.0,510.0,526.0,511.0
Cyprus,93.39,T,C+,38.5,1210.0,418.0,411.0,381.0
Montenegro,85.78,E,C,34.6,1214.0,406.0,403.0,405.0
Malta,91.27,T,B-,40.8,1377.0,466.0,466.0,445.0
Brunei,87.58,E,,,1317.0,442.0,446.0,429.0
Iceland,98.26,T,B+,52.0,1342.0,459.0,447.0,436.0
Total,,,,,,438.6875,447.9875,436.1875
