Country,LiteracyRateAllGenders,LiteracyRateFemale,LiteracyRateMale,Year
India,74.0,65.8,82.4,2018.0
China,97.0,95.2,98.5,2020.0
Indonesia,96.0,94.6,97.4,2020.0
Pakistan,58.0,46.5,69.3,2019.0
Nigeria,62.0,52.7,71.3,2018.0
Brazil,94.0,94.5,94.1,2021.0
Bangladesh,75.0,72.0,77.8,2020.0
Russia,100.0,99.7,99.7,2021.0
Ethiopia,52.0,44.4,57.2,2017.0
Mexico,95.0,94.5,96.1,2020.0
Philippines,96.0,96.9,95.7,2019.0
Egypt,75.0,,,2022.0
DR Congo,81.0,,,2022.0
Vietnam,96.0,94.6,97.0,2019.0
Iran,89.0,88.7,92.4,2021.0
Turkey,97.0,94.4,99.1,2019.0
Thailand,94.0,92.8,95.5,2021.0
Tanzania,82.0,78.2,85.5,2022.0
South Africa,90.0,,,2021.0
Italy,99.0,99.0,99.4,2018.0
Kenya,83.0,79.8,85.5,2022.0
Myanmar,89.0,86.3,92.4,2019.0
Colombia,96.0,95.9,95.4,2020.0
Uganda,81.0,,,2022.0
Sudan,61.0,56.1,65.4,2018.0
Spain,99.0,98.0,99.0,2020.0
Algeria,81.0,75.3,87.4,2018.0
Argentina,99.0,99.1,98.9,2018.0
Afghanistan,37.0,22.6,52.1,2021.0
Poland,100.0,99.8,99.8,2021.0
Morocco,77.0,,,2022.0
Ukraine,100.0,100.0,100.0,2021.0
Angola,72.0,,,2022.0
Saudi Arabia,98.0,96.0,98.6,2020.0
Uzbekistan,100.0,100.0,100.0,2022.0
Yemen,70.0,55.0,85.1,2015.0
Mozambique,63.0,53.8,74.1,2021.0
Ghana,80.0,,,2020.0
Peru,94.0,92.0,97.0,2020.0
Malaysia,95.0,93.6,96.2,2019.0
Nepal,71.0,63.3,81.0,2021.0
Madagascar,77.0,75.8,78.8,2022.0
Ivory Coast,90.0,,,2019.0
Venezuela,98.0,97.7,97.4,2022.0
Cameroon,78.0,,,2020.0
Niger,38.0,,,2022.0
Syria,86.0,81.0,91.7,2015.0
Mali,31.0,,,2020.0
Taiwan,99.0,97.3,99.7,2014.0
Burkina Faso,34.0,,,2022.0
Malawi,68.0,,,2022.0
Zambia,88.0,,,2020.0
Kazakhstan,100.0,99.7,99.8,2020.0
Chile,97.0,97.0,97.1,2022.0
Romania,99.0,98.7,99.1,2021.0
Chad,27.0,18.2,35.4,2022.0
Somalia,41.0,,,2022.0
Ecuador,94.0,,,2022.0
Guatemala,84.0,79.3,87.7,2022.0
Senegal,58.0,,,2022.0
Cambodia,84.0,79.8,88.4,2022.0
Zimbabwe,90.0,89.7,88.3,2022.0
Guinea,45.0,31.3,61.2,2021.0
Rwanda,76.0,73.3,78.7,2021.0
Benin,47.0,,,2022.0
Burundi,76.0,,,2022.0
