Country,Exports,Year,Top export (2021)
China,3715827,2022,Broadcasting equipment
United States,3011859,2022,Petroleum
Germany,2060409,2022,Cars
France,1005319,2022,Packaged medications
United Kingdom,1001418,2022,Gold
Japan,921211,2022,Cars
Netherlands,916169,2022,Petroleum
Singapore,870806,2022,Integrated circuits
South Korea,820642,2022,Integrated circuits
India,770180,2022-23,Petroleum
United Arab Emirates,753000,2022,Petroleum
Italy,745566,2022,Packaged medications
Ireland,723121,2022,Blood
Canada,721859,2022,Petroleum
Hong Kong,698293,2022,Integrated circuits
Russia,636843,2022,Petroleum
Mexico,626625,2022,Cars
Switzerland,620424,2022,Gold
Spain,579217,2022,Cars
Belgium,551281,2022,Vaccines
Australia,464517,2022,Iron ore
Saudi Arabia,442569,2022,Petroleum
Poland,432435,2022,Car parts
Taiwan,382721,2019,Integrated circuits
Brazil,379783,2022,Iron ore
Turkey,343688,2022,Cars
Vietnam,339984,2021,Broadcasting equipment
Thailand,325953,2022,Data processing equipment
Norway,321076,2022,Petroleum
Indonesia,315924,2022,Coal
Sweden,310493,2022,Cars
Malaysia,299656,2022,Integrated circuits
Denmark,273868,2022,Packaged medications
Austria,268277,2022,Cars
Czech Republic,217731,2022,Cars
Israel,166098,2022,Diamonds
Luxembourg,163585,2022,Iron
Qatar,161693,2022,Petroleum
Hungary,161609,2022,Cars
South Africa,135951,2022,Platinum
Romania,129165,2022,Cars
Finland,125788,2022,Paper
Slovakia,114157,2022,Cars
Kuwait,110923,2022,Petroleum
Chile,107077,2022,Copper
Greece,105756,2022,Petroleum
Portugal,105648,2021,Cars
Argentina,102947,2022,Soybeans
Philippines,98518,2022,Integrated circuits
Kazakhstan,94052,2022,Petroleum
Iraq,78260,2022,Petroleum
Iran,76917,2022,Plastic
Egypt,76295,2022,Petroleum
Colombia,72497,2022,Petroleum
Peru,71197,2022,Copper
Nigeria,69091,2022,Petroleum
Algeria,68664,2022,Petroleum
Lithuania,61386,2022,Petroleum
