Rank,Country,Number of Visa-Free Destinations,Year,Exports,Year_exports,Top export (2021),Imports,Year_imports,Education Index,averageIqByCountry_iqLynnBecker2019,averageIqByCountry_sourceLynnBecker2019,AverageIQ_ICI2017Grade,AverageIQ_ICI2017Score,OverallPisaScore2022,PISAScoresMathScore2022,PISAScoresScienceScore2022,PISAScoresReadingScore2022,LiteracyRateAllGenders,LiteracyRateFemale,LiteracyRateMale,Year_countries_literacy_rate,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1.0,France,194.0,2022.0,1005319.0,2022,Packaged medications,830300.0,2022,0.762,96.69,T,A-,56.7,1435.0,474.0,487.0,474.0,,,,,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,40676.0647913181,43846.4660764798,40870.8523645734,42602.7179652667,43068.5487241739,36652.9223052178,37062.5335723829,38781.0494870836,41557.8548588876,40494.8982936276,39179.7442596057,43671.3084099631,40886.2532680273
3.0,France,190.0,2023.0,1005319.0,2022,Packaged medications,830300.0,2022,0.762,96.69,T,A-,56.7,1435.0,474.0,487.0,474.0,,,,,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,40676.0647913181,43846.4660764798,40870.8523645734,42602.7179652667,43068.5487241739,36652.9223052178,37062.5335723829,38781.0494870836,41557.8548588876,40494.8982936276,39179.7442596057,43671.3084099631,40886.2532680273
6.0,France,187.0,2024.0,1005319.0,2022,Packaged medications,830300.0,2022,0.762,96.69,T,A-,56.7,1435.0,474.0,487.0,474.0,,,,,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,40676.0647913181,43846.4660764798,40870.8523645734,42602.7179652667,43068.5487241739,36652.9223052178,37062.5335723829,38781.0494870836,41557.8548588876,40494.8982936276,39179.7442596057,43671.3084099631,40886.2532680273
1.0,Germany,194.0,2022.0,2060409.0,2022,Cars,1571057.0,2022,0.917,100.74,T,A,64.2,1447.0,475.0,492.0,480.0,,,,,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,41572.4559481507,46705.8957963353,43855.8544658618,46298.9229177341,48023.8699845462,41103.2564363768,42136.1207907991,44652.5891722719,47939.2782884504,46805.1384334439,46749.4762280016,51426.7503654421,48717.9911402128
3.0,Germany,190.0,2023.0,2060409.0,2022,Cars,1571057.0,2022,0.917,100.74,T,A,64.2,1447.0,475.0,492.0,480.0,,,,,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,41572.4559481507,46705.8957963353,43855.8544658618,46298.9229177341,48023.8699845462,41103.2564363768,42136.1207907991,44652.5891722719,47939.2782884504,46805.1384334439,46749.4762280016,51426.7503654421,48717.9911402128
3.0,Germany,190.0,2024.0,2060409.0,2022,Cars,1571057.0,2022,0.917,100.74,T,A,64.2,1447.0,475.0,492.0,480.0,,,,,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,41572.4559481507,46705.8957963353,43855.8544658618,46298.9229177341,48023.8699845462,41103.2564363768,42136.1207907991,44652.5891722719,47939.2782884504,46805.1384334439,46749.4762280016,51426.7503654421,48717.9911402128
1.0,Italy,194.0,2022.0,745566.0,2022,Packaged medications,743030.0,2022,0.727,94.23,T,B,48.0,1430.0,471.0,477.0,482.0,99.0,99.0,99.4,2018.0,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,36035.6449950691,38649.6394836789,35051.5212697703,35560.0814062288,35565.7213771496,30242.3861352184,30960.7315088902,32406.7203150134,34622.1696664741,33673.7509627421,31922.9191626183,36449.2583375837,34776.423234274
3.0,Italy,190.0,2023.0,745566.0,2022,Packaged medications,743030.0,2022,0.727,94.23,T,B,48.0,1430.0,471.0,477.0,482.0,99.0,99.0,99.4,2018.0,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,36035.6449950691,38649.6394836789,35051.5212697703,35560.0814062288,35565.7213771496,30242.3861352184,30960.7315088902,32406.7203150134,34622.1696664741,33673.7509627421,31922.9191626183,36449.2583375837,34776.423234274
4.0,Italy,189.0,2024.0,745566.0,2022,Packaged medications,743030.0,2022,0.727,94.23,T,B,48.0,1430.0,471.0,477.0,482.0,99.0,99.0,99.4,2018.0,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,36035.6449950691,38649.6394836789,35051.5212697703,35560.0814062288,35565.7213771496,30242.3861352184,30960.7315088902,32406.7203150134,34622.1696664741,33673.7509627421,31922.9191626183,36449.2583375837,34776.423234274
1.0,Japan,194.0,2022.0,921211.0,2022,Cars,905099.0,2022,0.829,106.48,T,A-,58.9,1599.0,536.0,547.0,516.0,,,,,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,44968.1562349739,48760.0789494211,49145.2804308193,40898.6478964744,38475.3952461838,34960.6393843385,39375.4731620781,38834.0529341227,39751.1330982711,40415.9567649547,40040.7655055923,40058.5373276179,34017.2718075024
1.0,Japan,193.0,2023.0,921211.0,2022,Cars,905099.0,2022,0.829,106.48,T,A-,58.9,1599.0,536.0,547.0,516.0,,,,,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,44968.1562349739,48760.0789494211,49145.2804308193,40898.6478964744,38475.3952461838,34960.6393843385,39375.4731620781,38834.0529341227,39751.1330982711,40415.9567649547,40040.7655055923,40058.5373276179,34017.2718075024
1.0,Japan,193.0,2024.0,921211.0,2022,Cars,905099.0,2022,0.829,106.48,T,A-,58.9,1599.0,536.0,547.0,516.0,,,,,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,44968.1562349739,48760.0789494211,49145.2804308193,40898.6478964744,38475.3952461838,34960.6393843385,39375.4731620781,38834.0529341227,39751.1330982711,40415.9567649547,40040.7655055923,40058.5373276179,34017.2718075024
1.0,Singapore,194.0,2022.0,870806.0,2022,Integrated circuits,475516.0,2022,0.771,105.89,T,A,63.6,1679.0,575.0,561.0,543.0,97.0,96.1,98.9,2020.0,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,47236.683084953,53891.4570264372,55547.5553077786,56967.4257940383,57564.8023114977,55645.6068614606,56895.6583127851,61164.8973569773,66836.521995236,66070.4868123062,61273.9916594455,77710.0892373091,82807.6290622897
2.0,Singapore,192.0,2023.0,870806.0,2022,Integrated circuits,475516.0,2022,0.771,105.89,T,A,63.6,1679.0,575.0,561.0,543.0,97.0,96.1,98.9,2020.0,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,47236.683084953,53891.4570264372,55547.5553077786,56967.4257940383,57564.8023114977,55645.6068614606,56895.6583127851,61164.8973569773,66836.521995236,66070.4868123062,61273.9916594455,77710.0892373091,82807.6290622897
2.0,Singapore,192.0,2024.0,870806.0,2022,Integrated circuits,475516.0,2022,0.771,105.89,T,A,63.6,1679.0,575.0,561.0,543.0,97.0,96.1,98.9,2020.0,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,47236.683084953,53891.4570264372,55547.5553077786,56967.4257940383,57564.8023114977,55645.6068614606,56895.6583127851,61164.8973569773,66836.521995236,66070.4868123062,61273.9916594455,77710.0892373091,82807.6290622897
1.0,Spain,194.0,2022.0,579217.0,2022,Cars,499055.0,2022,0.717,93.9,T,B,49.8,1432.0,473.0,485.0,474.0,99.0,98.0,99.0,2020.0,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,30532.4805081656,31677.9003083652,28322.9465923276,29077.1820557563,29513.6511800405,25754.36102944,26537.1594894542,28185.3213671969,30379.7211126422,29581.5185513299,26984.2962770279,30488.8209528797,29674.5442864413
3.0,Spain,190.0,2023.0,579217.0,2022,Cars,499055.0,2022,0.717,93.9,T,B,49.8,1432.0,473.0,485.0,474.0,99.0,98.0,99.0,2020.0,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,30532.4805081656,31677.9003083652,28322.9465923276,29077.1820557563,29513.6511800405,25754.36102944,26537.1594894542,28185.3213671969,30379.7211126422,29581.5185513299,26984.2962770279,30488.8209528797,29674.5442864413
3.0,Spain,190.0,2024.0,579217.0,2022,Cars,499055.0,2022,0.717,93.9,T,B,49.8,1432.0,473.0,485.0,474.0,99.0,98.0,99.0,2020.0,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,30532.4805081656,31677.9003083652,28322.9465923276,29077.1820557563,29513.6511800405,25754.36102944,26537.1594894542,28185.3213671969,30379.7211126422,29581.5185513299,26984.2962770279,30488.8209528797,29674.5442864413
2.0,Austria,193.0,2022.0,268277.0,2022,Cars,231947.0,2022,0.832,98.38,T,A-,58.7,1458.0,487.0,491.0,480.0,,,,,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,46903.7615854343,51442.2762464407,48564.9173350875,50731.1272541847,51786.3771747905,44195.8175947748,45307.5878620429,47429.1584564387,51466.5565633634,50067.5857265892,48789.4978498872,53517.8904509612,52084.6811953372
3.0,Austria,190.0,2023.0,268277.0,2022,Cars,231947.0,2022,0.832,98.38,T,A-,58.7,1458.0,487.0,491.0,480.0,,,,,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,46903.7615854343,51442.2762464407,48564.9173350875,50731.1272541847,51786.3771747905,44195.8175947748,45307.5878620429,47429.1584564387,51466.5565633634,50067.5857265892,48789.4978498872,53517.8904509612,52084.6811953372
5.0,Austria,188.0,2024.0,268277.0,2022,Cars,231947.0,2022,0.832,98.38,T,A-,58.7,1458.0,487.0,491.0,480.0,,,,,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,46903.7615854343,51442.2762464407,48564.9173350875,50731.1272541847,51786.3771747905,44195.8175947748,45307.5878620429,47429.1584564387,51466.5565633634,50067.5857265892,48789.4978498872,53517.8904509612,52084.6811953372
2.0,Finland,193.0,2022.0,125788.0,2022,Paper,97265.0,2022,0.907,101.2,T,A,60.5,1485.0,484.0,511.0,490.0,,,,,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,46505.3031791811,51148.9316365833,47708.0612784469,49892.2233632732,50327.2402902632,42801.9081167285,43814.0265056965,46412.1364777169,49987.6261584968,48629.8582283032,49169.7193388499,53504.6936483441,50871.9304508821
3.0,Finland,190.0,2023.0,125788.0,2022,Paper,97265.0,2022,0.907,101.2,T,A,60.5,1485.0,484.0,511.0,490.0,,,,,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,46505.3031791811,51148.9316365833,47708.0612784469,49892.2233632732,50327.2402902632,42801.9081167285,43814.0265056965,46412.1364777169,49987.6261584968,48629.8582283032,49169.7193388499,53504.6936483441,50871.9304508821
4.0,Finland,189.0,2024.0,125788.0,2022,Paper,97265.0,2022,0.907,101.2,T,A,60.5,1485.0,484.0,511.0,490.0,,,,,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,46505.3031791811,51148.9316365833,47708.0612784469,49892.2233632732,50327.2402902632,42801.9081167285,43814.0265056965,46412.1364777169,49987.6261584968,48629.8582283032,49169.7193388499,53504.6936483441,50871.9304508821
